,userid,number_of_courses,average_marks,average_login,weekend_login,weekday_login,midnight_login,early_morning_login,late_morning_login,afternoon_login,evening_login,night_login,no_of_viewed_courses,no_of_attendance_taken,no_of_all_files_downloaded,no_of_assignments,no_of_forum_created,number_of_quizzes,no_of_quizzes_completed,no_of_quizzes_attempt
11811,15620.0,9.0,78.82222222222222,11.88888888888889,2.0,9.88888888888889,4.444444444444445,2.4444444444444446,1.1111111111111112,3.7777777777777777,0.0,0.1111111111111111,58.66666666666666,0.0,0.0,2.7777777777777777,0.0,4.222222222222222,1.3333333333333333,1.8888888888888888
11812,15621.0,9.0,81.55000000000001,7.888888888888889,0.5555555555555556,7.333333333333333,2.0,3.2222222222222223,0.6666666666666666,1.8888888888888888,0.1111111111111111,0.0,28.88888888888889,0.0,0.0,2.0,0.1111111111111111,3.333333333333333,1.2222222222222223,1.5555555555555556
11813,15622.0,9.0,79.15555555555557,15.88888888888889,2.2222222222222223,13.666666666666666,5.222222222222222,5.111111111111111,1.3333333333333333,3.555555555555556,0.5555555555555556,0.1111111111111111,63.44444444444444,0.0,0.0,1.6666666666666667,0.0,8.333333333333334,1.5555555555555556,2.4444444444444446
11814,15623.0,9.0,80.0111111111111,9.666666666666666,1.4444444444444444,8.222222222222221,2.888888888888889,2.333333333333333,1.1111111111111112,3.2222222222222223,0.1111111111111111,0.0,33.888888888888886,0.0,0.0,2.2222222222222223,0.0,2.888888888888889,1.0,1.8888888888888888
11815,15624.0,9.0,79.47777777777777,11.666666666666666,3.7777777777777777,7.888888888888889,3.555555555555556,1.6666666666666667,0.7777777777777778,5.333333333333333,0.3333333333333333,0.0,51.11111111111112,0.0,0.0,1.4444444444444444,0.1111111111111111,3.6666666666666665,1.4444444444444444,2.555555555555556
11816,15625.0,9.0,79.89444444444445,9.0,0.7777777777777778,8.222222222222221,2.888888888888889,3.555555555555556,0.6666666666666666,1.6666666666666667,0.1111111111111111,0.1111111111111111,31.88888888888889,0.0,0.0,1.1111111111111112,0.1111111111111111,1.2222222222222223,0.2222222222222222,0.6666666666666666
11817,15626.0,9.0,84.6222222222222,6.444444444444445,0.2222222222222222,6.222222222222222,2.111111111111111,1.5555555555555556,0.2222222222222222,2.2222222222222223,0.1111111111111111,0.2222222222222222,26.55555555555556,0.0,0.0,1.4444444444444444,0.0,1.5555555555555556,1.0,2.4444444444444446
11818,15627.0,9.0,69.66111111111111,5.555555555555555,0.4444444444444444,5.111111111111111,1.7777777777777777,1.1111111111111112,0.6666666666666666,1.3333333333333333,0.4444444444444444,0.2222222222222222,25.55555555555556,0.0,0.0,1.1111111111111112,0.0,0.0,0.0,0.0
11819,15629.0,9.0,81.92777777777776,8.777777777777779,2.7777777777777777,6.0,1.6666666666666667,2.111111111111111,0.3333333333333333,2.888888888888889,1.7777777777777777,0.0,35.77777777777778,0.0,0.0,2.0,0.0,0.0,0.0,0.0
11820,15630.0,9.0,76.38888888888889,22.33333333333333,5.888888888888889,16.444444444444443,5.0,4.888888888888889,3.0,5.222222222222222,3.7777777777777777,0.4444444444444444,87.55555555555556,0.0,0.0,3.0,0.0,5.444444444444445,1.3333333333333333,2.0
11821,15631.0,9.0,80.74444444444445,8.777777777777779,1.4444444444444444,7.333333333333333,3.0,1.2222222222222223,0.7777777777777778,2.7777777777777777,0.7777777777777778,0.2222222222222222,27.0,0.0,0.0,2.4444444444444446,0.0,0.0,0.0,0.0
11822,15632.0,9.0,76.76666666666667,12.11111111111111,4.333333333333333,7.777777777777778,2.7777777777777777,1.5555555555555556,2.333333333333333,4.0,1.3333333333333333,0.1111111111111111,36.44444444444444,0.0,0.0,1.5555555555555556,0.0,0.0,0.0,0.0
11823,15633.0,9.0,83.40555555555555,11.444444444444445,1.8888888888888888,9.555555555555555,1.5555555555555556,2.111111111111111,1.4444444444444444,3.7777777777777777,2.4444444444444446,0.1111111111111111,32.22222222222222,0.0,0.0,2.111111111111111,0.0,0.0,0.0,0.0
11824,15634.0,9.0,80.8722222222222,7.0,1.6666666666666667,5.333333333333333,1.4444444444444444,2.111111111111111,0.4444444444444444,1.2222222222222223,1.4444444444444444,0.3333333333333333,23.88888888888889,0.0,0.0,2.0,0.0,0.0,0.0,0.0
11825,15635.0,8.0,73.6,12.375,2.5,9.875,2.125,1.625,1.75,5.5,1.375,0.0,50.75,0.0,0.0,2.375,0.0,0.0,0.0,0.0
11826,15636.0,9.0,70.95555555555555,10.333333333333334,2.6666666666666665,7.666666666666667,2.555555555555556,2.0,1.3333333333333333,2.6666666666666665,1.6666666666666667,0.1111111111111111,45.11111111111112,0.0,0.0,2.2222222222222223,0.1111111111111111,2.0,0.7777777777777778,1.2222222222222223
11827,15637.0,9.0,0.0,8.555555555555555,2.333333333333333,6.222222222222222,2.111111111111111,1.7777777777777777,0.6666666666666666,2.2222222222222223,1.5555555555555556,0.2222222222222222,32.55555555555556,0.0,0.0,1.1111111111111112,0.0,0.7777777777777778,0.6666666666666666,0.6666666666666666
11828,15638.0,9.0,67.1888888888889,12.22222222222222,2.2222222222222223,10.0,3.6666666666666665,2.888888888888889,1.7777777777777777,3.111111111111111,0.7777777777777778,0.0,27.11111111111111,0.0,0.0,2.111111111111111,0.0,0.0,0.0,0.0
11829,15639.0,8.0,0.0,0.125,0.0,0.125,0.125,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11830,15640.0,9.0,70.67222222222222,13.22222222222222,3.333333333333333,9.88888888888889,3.4444444444444446,4.333333333333333,1.4444444444444444,3.2222222222222223,0.7777777777777778,0.0,42.333333333333336,0.0,0.0,1.6666666666666667,0.0,0.0,0.0,0.0
11831,15642.0,2.0,69.0,34.0,1.5,32.5,13.0,10.5,5.0,4.0,0.0,1.5,206.0,0.0,0.0,1.5,0.0,0.0,0.0,0.0
11832,15643.0,2.0,80.0,13.0,2.0,11.0,4.0,2.5,1.0,4.0,1.5,0.0,42.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11833,15644.0,2.0,84.33500000000001,15.5,2.5,13.0,5.5,4.0,0.0,4.0,0.0,2.0,53.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0
11834,15646.0,2.0,83.83500000000001,27.0,2.0,25.0,9.5,4.5,2.0,10.5,0.0,0.5,92.5,0.0,0.0,3.5,0.0,0.0,0.0,0.0
11835,15647.0,2.0,81.83500000000001,23.0,3.5,19.5,5.0,8.5,3.0,4.0,2.5,0.0,94.5,0.0,0.0,3.0,0.0,0.0,0.0,0.0
11836,15648.0,2.0,72.5,12.0,1.0,11.0,6.5,4.0,0.0,1.0,0.0,0.5,38.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
11837,15649.0,1.0,67.0,83.0,6.0,77.0,23.0,14.0,5.0,28.0,13.0,0.0,293.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11838,15651.0,2.0,82.91499999999999,9.5,0.0,9.5,6.0,0.5,1.0,1.0,0.0,1.0,22.5,0.0,0.0,1.0,0.0,0.0,0.0,0.0
11839,15654.0,1.0,75.8,16.0,0.0,16.0,5.0,1.0,0.0,8.0,0.0,2.0,55.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11840,15657.0,7.0,79.34285714285714,2.4285714285714284,0.1428571428571428,2.2857142857142856,0.7142857142857143,0.7142857142857143,0.2857142857142857,0.4285714285714285,0.1428571428571428,0.1428571428571428,10.285714285714286,0.0,0.1428571428571428,0.1428571428571428,0.0,0.4285714285714285,0.0,0.0
11841,15658.0,7.0,78.07142857142857,5.571428571428571,2.0,3.571428571428572,1.2857142857142858,1.2857142857142858,0.7142857142857143,2.142857142857143,0.1428571428571428,0.0,16.0,0.0,0.4285714285714285,0.1428571428571428,0.0,0.1428571428571428,0.0,0.0
11842,15659.0,7.0,79.32857142857142,5.285714285714286,0.7142857142857143,4.571428571428571,0.8571428571428571,0.7142857142857143,0.7142857142857143,0.7142857142857143,1.5714285714285714,0.7142857142857143,22.714285714285715,0.0,0.0,0.8571428571428571,0.0,0.7142857142857143,0.1428571428571428,0.1428571428571428
11843,15660.0,7.0,74.57142857142857,5.571428571428571,0.8571428571428571,4.714285714285714,2.2857142857142856,0.4285714285714285,1.0,1.8571428571428568,0.0,0.0,16.714285714285715,0.0,0.0,0.1428571428571428,0.0,0.1428571428571428,0.0,0.0
